	UNITID	INSTNM	IALIAS	ADDR	CITY	STABBR	ZIP	FIPS	OBEREG	OPEFLAG	WEBADDR	SECTOR	ICLEVEL	CONTROL	HLOFFER	UGOFFER	GROFFER	HDEGOFR1	DEGGRANT	HBCU	OPENPUBL	ACT	NEWID	DEATHYR	CYACTIVE	PSET4FLG	INSTCAT	C15BASIC	C15IPUG	C15IPGRD	C15UGPRF	C15ENPRF	C15SZSET	CCBASIC	CARNEGIE	LANDGRNT	INSTSIZE	F1SYSTYP	F1SYSNAM	F1SYSCOD	COUNTYCD	COUNTYNM	CNGDSTCD	LONGITUD	LATITUDE	CNTLAFFI	PUBPRIME	PUBSECON	RELAFFIL	DSTNUGC	DSTNUGP	DSTNUGN	DSTNGC	DSTNGP	DSTNGN	DISTCRS	DISTPGS	DSTNCED1	DSTNCED2	DSTNCED3	DISTNCED	ALLONCAM	EFDETOT_All	EFDETOT_Degree	EFDETOT_Grad	EFDETOT_Non	EFDETOT_Under	EFDEEXC_All	EFDEEXC_Degree	EFDEEXC_Grad	EFDEEXC_Non	EFDEEXC_Under	EFDESOM_All	EFDESOM_Degree	EFDESOM_Grad	EFDESOM_Non	EFDESOM_Under	EFDENON_All	EFDENON_Degree	EFDENON_Grad	EFDENON_Non	EFDENON_Under	EFDEEX1_All	EFDEEX1_Degree	EFDEEX1_Grad	EFDEEX1_Non	EFDEEX1_Under	EFDEEX2_All	EFDEEX2_Degree	EFDEEX2_Grad	EFDEEX2_Non	EFDEEX2_Under	EFDEEX3_All	EFDEEX3_Degree	EFDEEX3_Grad	EFDEEX3_Non	EFDEEX3_Under	EFDEEX4_All	EFDEEX4_Degree	EFDEEX4_Grad	EFDEEX4_Non	EFDEEX4_Under	EFDEEX5_All	EFDEEX5_Degree	EFDEEX5_Grad	EFDEEX5_Non	EFDEEX5_Under	SAINSTT_All	SAINSTT_Assistant	SAINSTT_Associate	SAINSTT_Instructor	SAINSTT_Lecturer	SAINSTT_NoRank	SAINSTT_Professor	SAINSTM_All	SAINSTM_Assistant	SAINSTM_Associate	SAINSTM_Instructor	SAINSTM_Lecturer	SAINSTM_NoRank	SAINSTM_Professor	SAINSTW_All	SAINSTW_Assistant	SAINSTW_Associate	SAINSTW_Instructor	SAINSTW_Lecturer	SAINSTW_NoRank	SAINSTW_Professor	SA_9MCT_All	SA_9MCT_Assistant	SA_9MCT_Associate	SA_9MCT_Instructor	SA_9MCT_Lecturer	SA_9MCT_NoRank	SA_9MCT_Professor	SA_9MCM_All	SA_9MCM_Assistant	SA_9MCM_Associate	SA_9MCM_Instructor	SA_9MCM_Lecturer	SA_9MCM_NoRank	SA_9MCM_Professor	SA_9MCW_All	SA_9MCW_Assistant	SA_9MCW_Associate	SA_9MCW_Instructor	SA_9MCW_Lecturer	SA_9MCW_NoRank	SA_9MCW_Professor	SATOTLT_All	SATOTLT_Assistant	SATOTLT_Associate	SATOTLT_Instructor	SATOTLT_Lecturer	SATOTLT_NoRank	SATOTLT_Professor	SATOTLM_All	SATOTLM_Assistant	SATOTLM_Associate	SATOTLM_Instructor	SATOTLM_Lecturer	SATOTLM_NoRank	SATOTLM_Professor	SATOTLW_All	SATOTLW_Assistant	SATOTLW_Associate	SATOTLW_Instructor	SATOTLW_Lecturer	SATOTLW_NoRank	SATOTLW_Professor	SAOUTLT_All	SAOUTLT_Assistant	SAOUTLT_Associate	SAOUTLT_Instructor	SAOUTLT_Lecturer	SAOUTLT_NoRank	SAOUTLT_Professor	SAOUTLM_All	SAOUTLM_Assistant	SAOUTLM_Associate	SAOUTLM_Instructor	SAOUTLM_Lecturer	SAOUTLM_NoRank	SAOUTLM_Professor	SAOUTLW_All	SAOUTLW_Assistant	SAOUTLW_Associate	SAOUTLW_Instructor	SAOUTLW_Lecturer	SAOUTLW_NoRank	SAOUTLW_Professor	SAEQ9OT_All	SAEQ9OT_Assistant	SAEQ9OT_Associate	SAEQ9OT_Instructor	SAEQ9OT_Lecturer	SAEQ9OT_NoRank	SAEQ9OT_Professor	SAEQ9OM_All	SAEQ9OM_Assistant	SAEQ9OM_Associate	SAEQ9OM_Instructor	SAEQ9OM_Lecturer	SAEQ9OM_NoRank	SAEQ9OM_Professor	SAEQ9OW_All	SAEQ9OW_Assistant	SAEQ9OW_Associate	SAEQ9OW_Instructor	SAEQ9OW_Lecturer	SAEQ9OW_NoRank	SAEQ9OW_Professor	SAEQ9AT_All	SAEQ9AT_Assistant	SAEQ9AT_Associate	SAEQ9AT_Instructor	SAEQ9AT_Lecturer	SAEQ9AT_NoRank	SAEQ9AT_Professor	SAEQ9AM_All	SAEQ9AM_Assistant	SAEQ9AM_Associate	SAEQ9AM_Instructor	SAEQ9AM_Lecturer	SAEQ9AM_NoRank	SAEQ9AM_Professor	SAEQ9AW_All	SAEQ9AW_Assistant	SAEQ9AW_Associate	SAEQ9AW_Instructor	SAEQ9AW_Lecturer	SAEQ9AW_NoRank	SAEQ9AW_Professor	YEAR	TUITION1	FEE1	HRCHG1	TUITION2	FEE2	HRCHG2	TUITION3	FEE3	HRCHG3	TUITION5	FEE5	HRCHG5	TUITION6	FEE6	HRCHG6	TUITION7	FEE7	HRCHG7	OMACHRT_FirstFullTotal	OMACHRT_Total	OMAWDP8_FirstFullTotal	OMAWDP8_Total	OMENRTP_FirstFullTotal	OMENRTP_Total	OMENRYP_FirstFullTotal	OMENRYP_Total	OMENRAP_FirstFullTotal	OMENRAP_Total	OMENRUP_FirstFullTotal	OMENRUP_Total	OMACHRT_FirstFullNonpell	OMACHRT_FirstFullPell	OMACHRT_FirstPartNonpell	OMACHRT_FirstPartPell	OMACHRT_FirstPartTotal	OMACHRT_TotalNonpell	OMACHRT_TotalPell	OMAWDP8_FirstFullNonpell	OMAWDP8_FirstFullPell	OMAWDP8_FirstPartNonpell	OMAWDP8_FirstPartPell	OMAWDP8_FirstPartTotal	OMAWDP8_TotalNonpell	OMAWDP8_TotalPell	OMENRTP_FirstFullNonpell	OMENRTP_FirstFullPell	OMENRTP_FirstPartNonpell	OMENRTP_FirstPartPell	OMENRTP_FirstPartTotal	OMENRTP_TotalNonpell	OMENRTP_TotalPell	OMENRYP_FirstFullNonpell	OMENRYP_FirstFullPell	OMENRYP_FirstPartNonpell	OMENRYP_FirstPartPell	OMENRYP_FirstPartTotal	OMENRYP_TotalNonpell	OMENRYP_TotalPell	OMENRAP_FirstFullNonpell	OMENRAP_FirstFullPell	OMENRAP_FirstPartNonpell	OMENRAP_FirstPartPell	OMENRAP_FirstPartTotal	OMENRAP_TotalNonpell	OMENRAP_TotalPell	OMENRUP_FirstFullNonpell	OMENRUP_FirstFullPell	OMENRUP_FirstPartNonpell	OMENRUP_FirstPartPell	OMENRUP_FirstPartTotal	OMENRUP_TotalNonpell	OMENRUP_TotalPell
0	100636	Community College of the Air Force	CCAF	100 S Turner Blvd	Montgomery	AL	36114-3011	1	0	3	 	4	2	1	4	1	2	40	1	2	0	A 	-2	-2	1	6	4	Null	Null	Null	Null	Null	Null	8	40	2	-1	1	Air University	Null	1101	Montgomery County	102	-86.352056	32.378278	1.0	1.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	-1.0	-1.0	-1.0	-1.0	-1.0																																																																																																																																																																												2012																																																																								
1	100654	Alabama A & M University	AAMU	4900 Meridian Street	Normal	AL	35762	1	5	1	www.aamu.edu/	1	1	1	9	1	1	12	1	1	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	18	16	1	2	2	 	Null	1089	Madison County	105	-86.568502	34.783367999999996	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	4853.0	4081.0	760.0	12.0	4093.0	0.0	0.0	0.0	0.0	0.0	250.0	221.0	17.0	12.0	233.0	4603.0	3860.0	743.0	0.0	3860.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	241.0	95.0	61.0	37.0	Null	Null	48.0	141.0	53.0	40.0	14.0	Null	Null	34.0	100.0	42.0	21.0	23.0	Null	Null	14.0	14625379.0	5129072.0	3975008.0	1503440.0	Null	Null	4017859.0	9025312.0	3004444.0	2558375.0	614068.0	Null	Null	2848425.0	5600067.0	2124628.0	1416633.0	889372.0	Null	Null	1169434.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
2	100663	University of Alabama at Birmingham	 	Administration Bldg Suite 1070	Birmingham	AL	35294-0110	1	5	1	www.uab.edu	1	1	1	9	1	1	11	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	15	15	2	4	1	The University of Alabama System	Null	1073	Jefferson County	107	-86.80917	33.50223	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	17999.0	11014.0	6708.0	277.0	11291.0	2761.0	748.0	1980.0	33.0	781.0	4082.0	3505.0	545.0	32.0	3537.0	11156.0	6761.0	4183.0	212.0	6973.0	1892.0	691.0	1169.0	32.0	723.0	853.0	56.0	796.0	1.0	57.0	1.0	1.0	0.0	0.0	1.0	15.0	0.0	15.0	0.0	0.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	853.0	286.0	250.0	96.0	Null	Null	221.0	453.0	132.0	136.0	27.0	Null	Null	158.0	400.0	154.0	114.0	69.0	Null	Null	63.0	87196953.0	22637130.0	24321998.0	6983766.0	Null	Null	33254059.0	49175539.0	10372197.0	12898617.0	1840703.0	Null	Null	24064022.0	38021414.0	12264933.0	11423381.0	5143063.0	Null	Null	9190037.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
3	100690	Amridge University	Southern Christian University |Regions University	1200 Taylor Rd	Montgomery	AL	36117-3553	1	5	1	www.amridgeuniversity.edu	2	1	2	9	1	1	11	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	21	51	2	1	2	 	Null	1101	Montgomery County	102	-86.17401	32.362609	4.0	-2.0	-2.0	74.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	703.0	338.0	365.0	Null	338.0	703.0	338.0	365.0	Null	338.0	0.0	0.0	0.0	Null	0.0	0.0	0.0	0.0	Null	0.0	285.0	172.0	113.0	Null	172.0	367.0	137.0	230.0	Null	137.0	0.0	0.0	0.0	Null	0.0	0.0	0.0	0.0	Null	0.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	38.0	Null	Null	38.0	Null	Null	Null	31.0	Null	Null	31.0	Null	Null	Null	7.0	Null	Null	7.0	Null	Null	Null	1657349.0	Null	Null	1657349.0	Null	Null	Null	1293778.0	Null	Null	1293778.0	Null	Null	Null	363571.0	Null	Null	363571.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
4	100706	University of Alabama in Huntsville	UAHuntsville |UAH |University of Alabama Huntsville |Unversity of Alabama at Huntsville	301 Sparkman Dr	Huntsville	AL	35899	1	5	1	www.uah.edu	1	1	1	9	1	1	11	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	15	16	2	3	1	The University of Alabama System	Null	1089	Madison County	105	-86.63842	34.722818	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	7636.0	5703.0	1754.0	179.0	5882.0	267.0	42.0	223.0	2.0	44.0	295.0	132.0	159.0	4.0	136.0	7074.0	5529.0	1372.0	173.0	5702.0	229.0	36.0	192.0	1.0	37.0	38.0	6.0	31.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	314.0	84.0	95.0	14.0	41.0	Null	80.0	192.0	48.0	64.0	1.0	11.0	Null	68.0	122.0	36.0	31.0	13.0	30.0	Null	12.0	26368795.0	5919018.0	8032692.0	743259.0	2134148.0	Null	9539678.0	18292143.0	3577615.0	5730637.0	53843.0	698886.0	Null	8231162.0	8076652.0	2341403.0	2302055.0	689416.0	1435262.0	Null	1308516.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
5	100724	Alabama State University	 	915 S Jackson Street	Montgomery	AL	36104-0271	1	5	1	www.alasu.edu/email/index.aspx	1	1	1	9	1	1	11	1	1	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	18	21	2	3	2	 	Null	1101	Montgomery County	107	-86.295677	32.364317	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	5816.0	5123.0	686.0	7.0	5130.0	0.0	0.0	0.0	0.0	0.0	1996.0	1620.0	376.0	0.0	1620.0	3820.0	3503.0	310.0	7.0	3510.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	276.0	89.0	65.0	58.0	Null	Null	64.0	126.0	40.0	29.0	18.0	Null	Null	39.0	150.0	49.0	36.0	40.0	Null	Null	25.0	17569873.0	5097881.0	4510455.0	2637988.0	Null	Null	5323549.0	8584527.0	2298014.0	2067827.0	854873.0	Null	Null	3363813.0	8985346.0	2799867.0	2442628.0	1783115.0	Null	Null	1959736.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
6	100733	University of Alabama System Office	 	401 Queen City Ave	Tuscaloosa	AL	35401	1	5	2	www.uasystem.ua.edu	0	1	1	9	1	1	11	1	2	1	A 	-2	-2	1	1	-2	Null	Null	Null	Null	Null	Null	-3	-3	2	-2	1	The University of Alabama System	Null	1125	Tuscaloosa County	107	-87.560858	33.212525	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	-2.0	-2.0	-2.0	-2.0	-2.0																																																																																																																																																																												2012																																																																								
7	100751	The University of Alabama	 	739 University Blvd	Tuscaloosa	AL	35487-0166	1	5	1	www.ua.edu/	1	1	1	9	1	1	11	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	16	15	2	5	1	The University of Alabama System	Null	1125	Tuscaloosa County	107	-87.545766	33.2144	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	33503.0	27364.0	5477.0	662.0	28026.0	2960.0	1213.0	1498.0	249.0	1462.0	4577.0	4138.0	425.0	14.0	4152.0	25966.0	22013.0	3554.0	399.0	22412.0	1582.0	749.0	597.0	236.0	985.0	1333.0	449.0	872.0	12.0	461.0	6.0	1.0	4.0	1.0	2.0	39.0	14.0	25.0	0.0	14.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	1239.0	327.0	309.0	253.0	12.0	Null	338.0	697.0	155.0	174.0	104.0	9.0	Null	255.0	542.0	172.0	135.0	149.0	3.0	Null	83.0	108918011.0	22617295.0	28154504.0	11638062.0	965220.0	Null	45542930.0	68489810.0	10997020.0	16513060.0	4803107.0	771017.0	Null	35405606.0	40428201.0	11620275.0	11641444.0	6834955.0	194203.0	Null	10137324.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
8	100760	Central Alabama Community College	 	1675 Cherokee Rd	Alexander City	AL	35010	1	5	1	www.cacc.edu	4	2	1	3	1	2	40	1	2	1	A 	-2	-2	1	1	4	Null	Null	Null	Null	Null	Null	2	40	2	2	1	Alabama College System	Null	1123	Tallapoosa County	103	-85.94653000000001	32.924428999999996	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	0.0	0.0	2.0	2.0	2021.0	1898.0	Null	123.0	2021.0	127.0	115.0	Null	12.0	127.0	424.0	409.0	Null	15.0	424.0	1470.0	1374.0	Null	96.0	1470.0	121.0	112.0	Null	9.0	121.0	0.0	0.0	Null	0.0	0.0	6.0	3.0	Null	3.0	6.0	0.0	0.0	Null	0.0	0.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	57.0	Null	Null	57.0	Null	Null	Null	25.0	Null	Null	25.0	Null	Null	Null	32.0	Null	Null	32.0	Null	Null	Null	3003714.0	Null	Null	3003714.0	Null	Null	Null	1394735.0	Null	Null	1394735.0	Null	Null	Null	1608979.0	Null	Null	1608979.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
9	100812	Athens State University	 	300 N Beaty St	Athens	AL	35611	1	5	1	www.athens.edu	1	1	1	5	1	2	30	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	22	32	2	2	2	 	Null	1083	Limestone County	105	-86.96514	34.805625	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	0.0	0.0	2.0	-2.0	3415.0	3250.0	Null	165.0	3415.0	1270.0	1152.0	Null	118.0	1270.0	2035.0	2001.0	Null	34.0	2035.0	110.0	97.0	Null	13.0	110.0	1213.0	1100.0	Null	113.0	1213.0	57.0	52.0	Null	5.0	57.0	0.0	0.0	Null	0.0	0.0	0.0	0.0	Null	0.0	0.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	88.0	39.0	26.0	3.0	Null	Null	20.0	43.0	18.0	13.0	1.0	Null	Null	11.0	45.0	21.0	13.0	2.0	Null	Null	9.0	6327181.0	2376360.0	2050639.0	152551.0	Null	Null	1747631.0	3069358.0	1087660.0	998056.0	22000.0	Null	Null	961642.0	3257823.0	1288700.0	1052583.0	130551.0	Null	Null	785989.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
